,listing_bathrooms,listing_bedrooms,listing_beds,listing_person_capacity,listing_id,listing_is_business_travel_ready,listing_is_fully_refundable,listing_is_host_highly_rated,listing_is_rebookable,listing_is_superhost,listing_lat,listing_lng,listing_picture_count,listing_preview_amenities,listing_reviews_count,listing_star_rating,listing_tier_id,pricing_quote_rate_with_service_fee_amount,pricing_quote_rate_with_service_fee_currency,pricing_quote_rate_type
0,1.0,1,1,2,2787889,False,True,False,False,True,50.941302371521,6.936276200921286,24,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",165,4.5,0,76.0,USD,nightly
1,1.0,1,1,1,24889964,False,True,False,False,False,50.932663667061775,6.959955756474188,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",1,,0,37.0,USD,nightly
2,1.0,0,1,2,23365913,False,True,True,False,True,50.9215214397855,6.933438699312848,12,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",36,5.0,0,44.0,USD,nightly
3,1.0,1,2,3,277516,False,True,True,False,False,50.94811289725812,6.950925321418389,19,Kitchen,69,4.5,0,70.0,USD,nightly
4,1.0,2,3,6,151877,False,True,False,False,True,50.91868042016967,6.962310420985858,34,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",197,4.5,0,96.0,USD,nightly
5,1.0,1,2,2,10851686,False,True,True,False,True,50.918086086933656,6.961938110398101,6,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",65,5.0,0,37.0,USD,nightly
6,1.0,1,2,3,18425009,False,True,False,False,False,50.95170602310581,6.9564790537514245,60,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",57,4.5,0,58.0,USD,nightly
7,1.0,1,2,3,21246774,False,True,True,False,True,50.93801355997635,6.941538762160147,14,"Wifi, Hair dryer",58,5.0,0,82.0,USD,nightly
8,1.0,1,1,2,10612377,False,True,False,False,False,50.94112389102932,6.9994014990841915,15,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",74,4.5,0,26.0,USD,nightly
9,1.0,0,2,2,23447819,False,True,True,False,False,50.934467118494894,6.973997680669721,5,,36,5.0,0,35.0,USD,nightly
10,1.0,1,1,2,18263865,False,True,True,False,True,50.929643514812376,6.942006936445163,2,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",75,5.0,0,34.0,USD,nightly
11,1.0,1,1,2,13881993,False,True,True,False,False,50.941947285413036,6.941310133592619,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",68,5.0,0,72.0,USD,nightly
12,1.5,1,1,3,4974414,False,True,True,False,True,50.92748759680115,6.955648274108484,28,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",147,5.0,0,67.0,USD,nightly
13,1.0,1,1,2,15740991,False,True,True,False,False,50.93454330683259,6.945216234070847,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
14,1.0,0,3,7,22464711,False,True,True,False,True,50.930502054563064,6.981885197822277,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",46,5.0,0,22.0,USD,nightly
15,1.0,1,1,2,3291488,False,True,False,False,True,50.92525495175922,6.9287390502055235,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
16,1.0,1,1,2,5939146,False,True,False,False,False,50.93965262083272,7.000305085052253,5,Wifi,63,4.5,0,40.0,USD,nightly
17,1.0,1,1,2,21429877,False,True,True,False,False,50.90820399326601,6.9248544113894415,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",28,5.0,0,35.0,USD,nightly
0,1.0,1,1,2,2787889,False,True,False,False,True,50.941302371521,6.936276200921286,24,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",165,4.5,0,76.0,USD,nightly
1,1.0,1,1,1,24889964,False,True,False,False,False,50.932663667061775,6.959955756474188,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",1,,0,37.0,USD,nightly
2,1.0,0,1,2,23365913,False,True,True,False,True,50.9215214397855,6.933438699312848,12,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",36,5.0,0,44.0,USD,nightly
3,1.0,1,2,3,277516,False,True,True,False,False,50.94811289725812,6.950925321418389,19,Kitchen,69,4.5,0,70.0,USD,nightly
4,1.0,2,3,6,151877,False,True,False,False,True,50.91868042016967,6.962310420985858,34,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",197,4.5,0,96.0,USD,nightly
5,1.0,1,2,2,10851686,False,True,True,False,True,50.918086086933656,6.961938110398101,6,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",65,5.0,0,37.0,USD,nightly
6,1.0,1,2,3,18425009,False,True,False,False,False,50.95170602310581,6.9564790537514245,60,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",57,4.5,0,58.0,USD,nightly
7,1.0,1,2,3,21246774,False,True,True,False,True,50.93801355997635,6.941538762160147,14,"Wifi, Hair dryer",58,5.0,0,82.0,USD,nightly
8,1.0,1,1,2,10612377,False,True,False,False,False,50.94112389102932,6.9994014990841915,15,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",74,4.5,0,26.0,USD,nightly
9,1.0,0,2,2,23447819,False,True,True,False,False,50.934467118494894,6.973997680669721,5,,36,5.0,0,35.0,USD,nightly
10,1.0,1,1,2,18263865,False,True,True,False,True,50.929643514812376,6.942006936445163,2,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",75,5.0,0,34.0,USD,nightly
11,1.0,1,1,2,13881993,False,True,True,False,False,50.941947285413036,6.941310133592619,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",68,5.0,0,72.0,USD,nightly
12,1.5,1,1,3,4974414,False,True,True,False,True,50.92748759680115,6.955648274108484,28,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",147,5.0,0,67.0,USD,nightly
13,1.0,1,1,2,15740991,False,True,True,False,False,50.93454330683259,6.945216234070847,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
14,1.0,0,3,7,22464711,False,True,True,False,True,50.930502054563064,6.981885197822277,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",46,5.0,0,22.0,USD,nightly
15,1.0,1,1,2,3291488,False,True,False,False,True,50.92525495175922,6.9287390502055235,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
16,1.0,1,1,2,5939146,False,True,False,False,False,50.93965262083272,7.000305085052253,5,Wifi,63,4.5,0,40.0,USD,nightly
17,1.0,1,1,2,21429877,False,True,True,False,False,50.90820399326601,6.9248544113894415,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",28,5.0,0,35.0,USD,nightly
0,1.0,1,1,2,2787889,False,True,False,False,True,50.941302371521,6.936276200921286,24,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",165,4.5,0,76.0,USD,nightly
1,1.0,1,1,1,24889964,False,True,False,False,False,50.932663667061775,6.959955756474188,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",1,,0,37.0,USD,nightly
2,1.0,0,1,2,23365913,False,True,True,False,True,50.9215214397855,6.933438699312848,12,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",36,5.0,0,44.0,USD,nightly
3,1.0,1,2,3,277516,False,True,True,False,False,50.94811289725812,6.950925321418389,19,Kitchen,69,4.5,0,70.0,USD,nightly
4,1.0,2,3,6,151877,False,True,False,False,True,50.91868042016967,6.962310420985858,34,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",197,4.5,0,96.0,USD,nightly
5,1.0,1,2,2,10851686,False,True,True,False,True,50.918086086933656,6.961938110398101,6,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",65,5.0,0,37.0,USD,nightly
6,1.0,1,2,3,18425009,False,True,False,False,False,50.95170602310581,6.9564790537514245,60,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",57,4.5,0,58.0,USD,nightly
7,1.0,1,2,3,21246774,False,True,True,False,True,50.93801355997635,6.941538762160147,14,"Wifi, Hair dryer",58,5.0,0,82.0,USD,nightly
8,1.0,1,1,2,10612377,False,True,False,False,False,50.94112389102932,6.9994014990841915,15,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",74,4.5,0,26.0,USD,nightly
9,1.0,0,2,2,23447819,False,True,True,False,False,50.934467118494894,6.973997680669721,5,,36,5.0,0,35.0,USD,nightly
10,1.0,1,1,2,18263865,False,True,True,False,True,50.929643514812376,6.942006936445163,2,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",75,5.0,0,34.0,USD,nightly
11,1.0,1,1,2,13881993,False,True,True,False,False,50.941947285413036,6.941310133592619,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",68,5.0,0,72.0,USD,nightly
12,1.5,1,1,3,4974414,False,True,True,False,True,50.92748759680115,6.955648274108484,28,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",147,5.0,0,67.0,USD,nightly
13,1.0,1,1,2,15740991,False,True,True,False,False,50.93454330683259,6.945216234070847,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
14,1.0,0,3,7,22464711,False,True,True,False,True,50.930502054563064,6.981885197822277,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",46,5.0,0,22.0,USD,nightly
15,1.0,1,1,2,3291488,False,True,False,False,True,50.92525495175922,6.9287390502055235,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
16,1.0,1,1,2,5939146,False,True,False,False,False,50.93965262083272,7.000305085052253,5,Wifi,63,4.5,0,40.0,USD,nightly
17,1.0,1,1,2,21429877,False,True,True,False,False,50.90820399326601,6.9248544113894415,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",28,5.0,0,35.0,USD,nightly
0,1.0,1,1,2,2787889,False,True,False,False,True,50.941302371521,6.936276200921286,24,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",165,4.5,0,76.0,USD,nightly
1,1.0,1,1,1,24889964,False,True,False,False,False,50.932663667061775,6.959955756474188,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",1,,0,37.0,USD,nightly
2,1.0,0,1,2,23365913,False,True,True,False,True,50.9215214397855,6.933438699312848,12,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",36,5.0,0,44.0,USD,nightly
3,1.0,1,2,3,277516,False,True,True,False,False,50.94811289725812,6.950925321418389,19,Kitchen,69,4.5,0,70.0,USD,nightly
4,1.0,2,3,6,151877,False,True,False,False,True,50.91868042016967,6.962310420985858,34,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",197,4.5,0,96.0,USD,nightly
5,1.0,1,2,2,10851686,False,True,True,False,True,50.918086086933656,6.961938110398101,6,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",65,5.0,0,37.0,USD,nightly
6,1.0,1,2,3,18425009,False,True,False,False,False,50.95170602310581,6.9564790537514245,60,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",57,4.5,0,58.0,USD,nightly
7,1.0,1,2,3,21246774,False,True,True,False,True,50.93801355997635,6.941538762160147,14,"Wifi, Hair dryer",58,5.0,0,82.0,USD,nightly
8,1.0,1,1,2,10612377,False,True,False,False,False,50.94112389102932,6.9994014990841915,15,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",74,4.5,0,26.0,USD,nightly
9,1.0,0,2,2,23447819,False,True,True,False,False,50.934467118494894,6.973997680669721,5,,36,5.0,0,35.0,USD,nightly
10,1.0,1,1,2,18263865,False,True,True,False,True,50.929643514812376,6.942006936445163,2,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",75,5.0,0,34.0,USD,nightly
11,1.0,1,1,2,13881993,False,True,True,False,False,50.941947285413036,6.941310133592619,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",68,5.0,0,72.0,USD,nightly
12,1.5,1,1,3,4974414,False,True,True,False,True,50.92748759680115,6.955648274108484,28,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",147,5.0,0,67.0,USD,nightly
13,1.0,1,1,2,15740991,False,True,True,False,False,50.93454330683259,6.945216234070847,7,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",66,4.5,0,35.0,USD,nightly
14,1.0,0,3,7,22464711,False,True,True,False,True,50.930502054563064,6.981885197822277,38,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",46,5.0,0,22.0,USD,nightly
