aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
100,177278,3053,3315,3390,1422,199,0,27,854
12,600520,4966,4442,5885,665,673,0,0,637
16,189527,2082,3361,1869,242,263,0,0,603
2,-1,14267,20177,7035,2780,2197,0,0,3234
20,215767,5863,3232,5718,685,288,0,0,570
23,-1,63742,18586,46283,4788,12236,0,173,3842
24,236889,6357,1286,4183,407,277,0,178,264
25,88619,1246,866,1470,96,96,0,0,156
26,111463,2819,877,2838,356,239,0,954,232
28,75270,1658,1058,826,102,44,0,0,94
31,77542,1562,901,668,42,72,0,0,85
32,19504,207,682,501,30,27,0,0,30
33,50022,451,691,575,27,31,0,0,63
36,28082,337,529,457,58,19,0,0,60
39,342709,12955,2852,4597,256,753,0,0,398
40,58357,574,901,619,34,55,0,445,46
41,21214,325,474,763,59,26,0,0,71
44,25967,396,451,439,51,17,0,0,47
45,36361,966,496,737,106,38,0,0,70
46,24565,407,334,352,30,36,0,0,38
47,113447,1682,1368,2134,514,153,0,569,214
48,35936,326,401,458,61,27,0,0,42
49,43805,186,374,338,11,53,0,0,28
50,66494,1517,1164,1271,181,106,0,794,229
51,100064,1356,443,485,18,29,0,80,43
52,41013,255,470,624,160,33,0,0,56
54,8797,201,432,518,49,24,0,0,64
55,114109,823,5108,943,229,133,0,0,766
56,22188,255,348,801,46,38,0,0,66
57,78182,1324,637,3094,257,181,0,0,177
60,15696,122,244,496,35,34,0,0,56
62,7853,141,246,179,74,15,0,0,13
63,13286,129,189,179,7,11,0,0,13
64,69462,793,278,1737,139,38,0,0,58
65,29377,288,244,440,73,31,0,0,41
68,16429,210,182,398,25,16,0,0,22
7,1592705,42021,43794,16698,4168,1767,0,10,3687
72,8821,192,322,199,16,23,0,0,29
73,15546,229,289,356,22,23,0,0,33
78,13732,121,302,171,10,4,0,0,25
79,15918,74,176,172,15,18,0,0,17
83,125741,3068,542,1298,189,134,0,192,59
84,10338,152,218,324,17,19,0,0,20
86,11434,749,340,432,38,31,0,0,32
