"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1970",36006,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1971",39704,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1972",42661,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1973",46711,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1974",54075,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1975",58986,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1976",55649,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1977",57723,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1978",59842,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1979",59826,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1980",63696,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1981",65717,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1982",65371,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1983",59839,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1984",65441,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1985",72603,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1986",77334,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1987",80357,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1988",81891,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1989",80584,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1990",87915,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1991",91123,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1992",99312,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1993",100788,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1994",104217,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1995",106195,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1996",110255,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1997",119619,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1998",125587,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1999",127963,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2000",133568,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2001",137534,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2002",150513,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2003",160580,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2004",168700,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2005",183944,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2006",189425,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2007",198961,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2008",218684,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2009",237163,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2010",258624,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2011",261420,"E"
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2012",290570,"E"
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2013",319000,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2014",367700,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2015",401600,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2016",413490,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1970",24808,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1971",26530,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1972",26977,
