tra_infr,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
AIRP,AT	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
AIRP,BE	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
AIRP,BG	4 	4 	4 	4 	4 	4 	4 	4 	5 	5 	4 	4 	4 	4 	4 	4 	4 
AIRP,CH	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	7 	7 	6 	6 	6 	6 
AIRP,CY	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP,CZ	5 	5 	5 	5 	5 	5 	5 	5 	5 	4 	4 	4 	4 	4 	4 	4 	4 
AIRP,DE	41 	40 	42 	38 	39 	38 	41 	33 	34 	34 	33 	34 	33 	34 	35 	35 	35 
AIRP,DK	8 	8 	8 	8 	8 	8 	9 	8 	8 	8 	8 	8 	8 	8 	9 	8 	9 
AIRP,EE	2 	2 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,EL	33 	34 	33 	33 	33 	32 	32 	32 	33 	34 	31 	36 	36 	27 	30 	: 	: 
AIRP,ES	38 	38 	38 	39 	39 	41 	41 	42 	41 	40 	40 	40 	39 	39 	38 	38 	38 
AIRP,FI	18 	17 	18 	19 	19 	19 	20 	20 	20 	21 	21 	21 	21 	22 	22 	21 	21 
AIRP,FR	62 	62 	62 	62 	62 	64 	62 	66 	63 	63 	61 	62 	64 	58 	65 	61 	61 
AIRP,HR	7 	7 	7 	7 	6 	6 	7 	7 	6 	6 	6 	7 	8 	4 	: 	: 	: 
AIRP,HU	3 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	1 	1 	1 	1 
AIRP,IE	7 	7 	8 	8 	9 	9 	11 	11 	11 	9 	10 	10 	11 	11 	11 	11 	11 
AIRP,IS	7 	6 	6 	6 	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	: 	: 
AIRP,IT	35 	36 	38 	37 	37 	37 	38 	38 	38 	39 	38 	37 	37 	37 	36 	25 	22 
AIRP,LT	4 	4 	4 	4 	4 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 
AIRP,LU	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,LV	1 	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP,ME	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,MK	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,MT	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,NL	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
AIRP,NO	39 	47 	47 	49 	50 	49 	50 	49 	48 	48 	47 	46 	42 	43 	45 	44 	37 
