direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,BE	151868 	148014 	140065 	138658 	128946 	126188 	123668 	121765 	129708 	126882 	111659 	140196 	134138 	125486 	116603 	108946 	103940 	104642 	106970 	110947 	102476 	110885 	100028 
IN,THS_T,BE_0BE001	: 	: 	: 	: 	68 	235 	475 	611 	721 	811 	611 	835 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,BE_0BE002	: 	: 	: 	: 	47 	129 	197 	159 	244 	240 	168 	340 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,BE_0BE888	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	496 	475 	524 	367 	484 	544 	455 	538 	622 	545 	345 
IN,THS_T,BE_0BEANR	108697 	109202 	102599 	103283 	96660 	89652 	88967 	84992 	88821 	83861 	73566 	95774 	90894 	83828 	80611 	75344 	68037 	64638 	66481 	67927 	59670 	68041 	59442 
IN,THS_T,BE_0BEBRU	: 	: 	: 	: 	: 	6 	7 	5 	42 	20 	14 	41 	938 	757 	708 	697 	604 	594 	638 	677 	784 	757 	543 
IN,THS_T,BE_0BEGNE	25665 	26280 	25846 	22580 	19572 	22103 	19262 	19275 	20421 	20799 	15681 	21126 	20076 	19091 	16104 	16756 	17721 	19265 	19866 	20326 	19857 	20962 	18691 
IN,THS_T,BE_0BELGG	: 	: 	: 	: 	: 	4 	3 	9 	24 	13 	16 	23 	66 	118 	130 	119 	126 	95 	109 	114 	110 	151 	166 
IN,THS_T,BE_0BENIE	: 	103 	38 	519 	117 	: 	263 	277 	303 	238 	157 	588 	589 	512 	440 	494 	500 	596 	799 	829 	855 	802 	926 
IN,THS_T,BE_0BEOST	1422 	648 	1230 	1278 	1116 	1223 	1315 	1933 	2212 	2947 	3043 	4250 	3924 	3925 	3919 	2466 	2692 	2599 	2573 	2055 	1880 	2053 	2222 
