,unit,carriage,destination,origin,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,MIO_TKM,HIRE,AD,CZ,,,,,,,,,,
1,MIO_TKM,HIRE,AD,DE,,3.0,,,,,,,,
2,MIO_TKM,HIRE,AD,ES,46.0,54.0,18.0,29.0,68.0,39.0,40.0,32.0,17.0,49.0
3,MIO_TKM,HIRE,AD,FR,2.0,0.0,,,,,2.0,,2.0,3.0
4,MIO_TKM,HIRE,AD,HU,,,,,5.0,,,,,
5,MIO_TKM,HIRE,AD,LU,,,0.0,,,,,,,
6,MIO_TKM,HIRE,AD,NL,,,,0.0,,,,,,
7,MIO_TKM,HIRE,AD,PT,,,,,,,12.0,,,
8,MIO_TKM,HIRE,AD,UK,3.0,6.0,,,,,,4.0,,
9,MIO_TKM,HIRE,AF,LV,,,,,,,21.0,,,
10,MIO_TKM,HIRE,AFR_N,DE,,,,,,,,,,
11,MIO_TKM,HIRE,AFR_N,DK,,,,,,,,,,
12,MIO_TKM,HIRE,AFR_N,EL,,,,,,,,,,
13,MIO_TKM,HIRE,AFR_N,ES,,,,,,,,,,
14,MIO_TKM,HIRE,AFR_N,EU15,,,,,,,,,,
15,MIO_TKM,HIRE,AFR_N,FR,,,,,,,,,,
16,MIO_TKM,HIRE,AFR_N,IE,,,,,,,,,,
17,MIO_TKM,HIRE,AFR_N,IT,,,,,,,,,,
18,MIO_TKM,HIRE,AFR_N,NL,,,,,,,,,,
19,MIO_TKM,HIRE,AFR_N,PT,,,,,,,,,,
20,MIO_TKM,HIRE,AFR_N,UK,,,,,,,,,,
21,MIO_TKM,HIRE,AL,AT,,2.0,,,2.0,,,,,
22,MIO_TKM,HIRE,AL,BE,,,,,,,,,,
23,MIO_TKM,HIRE,AL,BG,3.0,3.0,12.0,18.0,6.0,7.0,14.0,5.0,43.0,
24,MIO_TKM,HIRE,AL,CY,,,,,,,,,,0.0
25,MIO_TKM,HIRE,AL,CZ,,19.0,,,,,4.0,,,
26,MIO_TKM,HIRE,AL,DE,,,,,,,,,,
27,MIO_TKM,HIRE,AL,DK,,,,,,,,,,
28,MIO_TKM,HIRE,AL,EL,45.0,14.0,,,,,,1.0,,
29,MIO_TKM,HIRE,AL,FI,,0.0,,,,,,,,
30,MIO_TKM,HIRE,AL,FR,,,,,,,,,,
31,MIO_TKM,HIRE,AL,HR,,,,,2.0,,1.0,,,4.0
32,MIO_TKM,HIRE,AL,HU,3.0,,,,,3.0,0.0,1.0,,
33,MIO_TKM,HIRE,AL,IT,,,,,0.0,,,,,
34,MIO_TKM,HIRE,AL,NL,,,,,,,,,,
35,MIO_TKM,HIRE,AL,RO,,,,,16.0,11.0,,4.0,1.0,
36,MIO_TKM,HIRE,AL,SE,6.0,,,,,,,,,
37,MIO_TKM,HIRE,AL,SI,,14.0,7.0,,1.0,,,1.0,,
38,MIO_TKM,HIRE,AL,UK,,,,,,,,,,
39,MIO_TKM,HIRE,AM,BG,,58.0,57.0,,,,4.0,,7.0,
40,MIO_TKM,HIRE,AM,CZ,,,51.0,,31.0,,,,,
41,MIO_TKM,HIRE,AM,EL,,,,,,25.0,,,11.0,
42,MIO_TKM,HIRE,AM,IT,,,,,,,,,,
