dt,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,no_reprint,copyright
2018-5-5-1-48-20,70909,1848,1377,3333,6218,583,0,0,1,1
2018-5-5-1-58-54,70915,1848,1377,3334,6218,584,0,0,1,1
2018-5-5-2-9-26,70922,1848,1377,3334,6218,584,0,0,1,1
2018-5-5-2-19-58,70930,1848,1377,3335,6218,585,0,0,1,1
2018-5-5-2-30-31,70938,1848,1377,3335,6218,585,0,0,1,1
2018-5-5-2-41-3,70942,1848,1379,3335,6218,585,0,0,1,1
2018-5-5-2-51-35,70950,1848,1379,3335,6218,585,0,0,1,1
2018-5-5-3-2-8,70962,1849,1380,3334,6218,585,0,0,1,1
2018-5-5-3-12-41,70973,1849,1380,3334,6218,585,0,0,1,1
2018-5-5-3-23-14,70980,1849,1380,3334,6218,585,0,0,1,1
2018-5-5-3-33-46,70998,1849,1380,3334,6218,586,0,0,1,1
2018-5-5-3-44-19,71011,1850,1380,3334,6218,586,0,0,1,1
2018-5-5-3-54-52,71029,1850,1380,3335,6218,586,0,0,1,1
2018-5-5-4-5-24,71047,1850,1380,3336,6218,586,0,0,1,1
2018-5-5-4-15-57,71070,1850,1381,3336,6226,586,0,0,1,1
2018-5-5-4-26-29,71093,1851,1382,3334,6228,586,0,0,1,1
2018-5-5-4-37-2,71108,1851,1382,3334,6230,586,0,0,1,1
2018-5-5-4-47-34,71131,1851,1382,3334,6232,586,0,0,1,1
2018-5-5-4-58-6,71140,1851,1382,3334,6232,586,0,0,1,1
2018-5-5-5-8-38,71150,1851,1382,3335,6234,586,0,0,1,1
2018-5-5-5-19-10,71163,1851,1382,3335,6235,586,0,0,1,1
2018-5-5-5-29-43,71180,1851,1382,3335,6237,586,0,0,1,1
2018-5-5-5-40-16,71187,1851,1382,3336,6237,586,0,0,1,1
2018-5-5-5-50-49,71197,1851,1382,3336,6237,586,0,0,1,1
2018-5-5-6-1-21,71205,1851,1383,3336,6237,586,0,0,1,1
2018-5-5-6-11-52,71212,1857,1383,3336,6237,586,0,0,1,1
2018-5-5-6-22-25,71226,1858,1384,3337,6237,586,0,0,1,1
2018-5-5-6-32-58,71238,1858,1384,3337,6237,586,0,0,1,1
2018-5-5-6-43-31,71249,1858,1384,3338,6241,586,0,0,1,1
2018-5-5-6-54-3,71256,1858,1384,3338,6241,586,0,0,1,1
2018-5-5-7-4-36,71266,1858,1384,3339,6241,586,0,0,1,1
2018-5-5-7-15-9,71273,1858,1384,3340,6241,586,0,0,1,1
2018-5-5-7-25-41,71284,1858,1384,3341,6241,586,0,0,1,1
2018-5-5-7-36-13,71292,1858,1384,3341,6243,586,0,0,1,1
2018-5-5-7-46-45,71305,1858,1384,3342,6245,586,0,0,1,1
2018-5-5-7-57-17,71316,1858,1384,3342,6245,586,0,0,1,1
2018-5-5-8-7-50,71333,1858,1384,3343,6245,586,0,0,1,1
2018-5-5-8-18-23,71347,1858,1384,3344,6245,587,0,0,1,1
2018-5-5-8-28-55,71349,1858,1384,3344,6245,587,0,0,1,1
2018-5-5-8-39-26,71364,1858,1384,3344,6245,587,0,0,1,1
2018-5-5-8-49-57,71373,1858,1384,3344,6245,587,0,0,1,1
2018-5-5-9-0-29,71384,1858,1384,3344,6245,587,0,0,1,1
2018-5-5-9-11-1,71393,1858,1384,3344,6247,587,0,0,1,1
2018-5-5-9-21-32,71413,1858,1384,3347,6249,587,0,0,1,1
2018-5-5-9-32-4,71432,1858,1384,3347,6249,587,0,0,1,1
2018-5-5-9-42-37,71446,1858,1384,3347,6249,587,0,0,1,1
2018-5-5-9-53-10,71454,1858,1384,3347,6249,587,0,0,1,1
2018-5-5-10-3-42,71462,1858,1384,3347,6249,587,0,0,1,1
2018-5-5-10-14-15,71479,1859,1384,3347,6249,587,0,0,1,1
2018-5-5-10-24-48,71496,1859,1384,3348,6252,587,0,0,1,1
2018-5-5-10-35-19,71511,1860,1385,3349,6252,587,0,0,1,1
2018-5-5-10-45-53,71520,1860,1385,3349,6252,587,0,0,1,1
2018-5-5-10-56-25,71542,1860,1385,3349,6254,587,0,0,1,1
2018-5-5-11-6-56,71567,1861,1385,3350,6258,587,0,0,1,1
2018-5-5-11-17-28,71578,1861,1385,3350,6259,587,0,0,1,1
2018-5-5-11-28-0,71586,1862,1386,3351,6262,587,0,0,1,1
2018-5-5-11-38-32,71593,1862,1386,3351,6262,587,0,0,1,1
2018-5-5-11-49-5,71609,1862,1386,3352,6262,587,0,0,1,1
2018-5-5-11-59-38,71626,1862,1386,3353,6264,587,0,0,1,1
2018-5-5-12-10-11,71648,1862,1386,3353,6264,589,0,0,1,1
2018-5-5-12-20-46,71662,1862,1386,3354,6269,589,0,0,1,1
2018-5-5-12-31-18,71675,1862,1386,3354,6271,589,0,0,1,1
2018-5-5-12-41-50,71679,1862,1386,3357,6272,589,0,0,1,1
2018-5-5-12-52-22,71696,1862,1386,3357,6272,589,0,0,1,1
2018-5-5-13-2-55,71710,1862,1386,3357,6272,590,0,0,1,1
2018-5-5-13-13-27,71723,1862,1386,3357,6272,590,0,0,1,1
2018-5-5-13-24-0,71733,1862,1386,3358,6272,591,0,0,1,1
2018-5-5-13-34-33,71752,1862,1386,3358,6272,591,0,0,1,1
2018-5-5-13-45-5,71768,1862,1386,3359,6274,591,0,0,1,1
2018-5-5-13-55-39,71787,1862,1387,3359,6276,591,0,0,1,1
2018-5-5-14-6-13,71821,1862,1387,3360,6277,591,0,0,1,1
2018-5-5-14-16-45,71850,1862,1387,3360,6277,591,0,0,1,1
2018-5-5-14-27-18,71880,1866,1387,3360,6278,591,0,0,1,1
2018-5-5-14-37-51,71920,1869,1388,3361,6279,591,0,0,1,1
2018-5-5-14-48-26,71943,1870,1388,3361,6279,591,0,0,1,1
2018-5-5-14-58-59,71988,1872,1388,3362,6286,591,0,0,1,1
2018-5-5-15-9-33,72024,1872,1389,3364,6289,591,0,0,1,1
2018-5-5-15-20-6,72075,1872,1389,3365,6291,591,0,0,1,1
2018-5-5-15-30-38,72116,1872,1389,3367,6291,591,0,0,1,1
2018-5-5-15-41-10,72141,1872,1391,3368,6291,591,0,0,1,1
2018-5-5-15-51-42,72185,1872,1391,3368,6291,591,0,0,1,1
2018-5-5-16-2-15,72203,1872,1391,3368,6291,591,0,0,1,1
2018-5-5-16-12-47,72211,1872,1391,3368,6292,591,0,0,1,1
2018-5-5-16-23-19,72224,1872,1391,3368,6293,591,0,0,1,1
2018-5-5-16-33-52,72236,1872,1391,3369,6295,591,0,0,1,1
2018-5-5-16-44-25,72250,1872,1391,3370,6295,591,0,0,1,1
2018-5-5-16-54-58,72258,1872,1391,3370,6295,591,0,0,1,1
2018-5-5-17-5-30,72270,1872,1393,3371,6297,591,0,0,1,1
2018-5-5-17-16-2,72274,1872,1393,3371,6297,592,0,0,1,1
2018-5-5-17-26-35,72276,1872,1393,3371,6297,592,0,0,1,1
2018-5-5-17-37-8,72281,1872,1393,3371,6297,592,0,0,1,1
2018-5-5-17-47-42,72287,1872,1393,3371,6297,592,0,0,1,1
2018-5-5-17-58-16,72289,1872,1393,3371,6297,592,0,0,1,1
2018-5-5-18-8-48,72289,1872,1393,3371,6297,592,0,0,1,1
2018-5-5-18-19-20,72294,1872,1393,3371,6299,592,0,0,1,1
2018-5-5-18-29-51,72307,1872,1394,3371,6300,592,0,0,1,1
2018-5-5-18-40-23,72310,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-18-50-57,72310,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-19-1-29,72311,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-19-12-3,72315,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-19-22-36,72318,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-19-33-10,72319,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-19-43-43,72322,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-19-54-15,72323,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-20-4-49,72324,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-20-15-20,72324,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-20-25-53,72327,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-20-36-26,72327,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-20-46-58,72327,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-20-57-31,72328,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-21-8-5,72328,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-21-18-39,72328,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-21-29-13,72328,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-21-39-45,72330,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-21-50-17,72333,1872,1394,3372,6300,592,0,0,1,1
2018-5-5-22-0-49,72334,1872,1394,3373,6302,592,0,0,1,1
2018-5-5-22-11-23,72337,1872,1395,3373,6302,592,0,0,1,1
2018-5-5-22-21-55,72339,1872,1395,3373,6302,592,0,0,1,1
2018-5-5-22-32-27,72340,1872,1395,3373,6302,592,0,0,1,1
2018-5-5-22-43-1,72342,1872,1395,3373,6302,592,0,0,1,1
2018-5-5-22-53-32,72344,1872,1395,3373,6302,592,0,0,1,1
