,count,mean,year,sum
1960,0.0,,1960,
1961,0.0,,1961,
1962,0.0,,1962,
1963,0.0,,1963,
1964,0.0,,1964,
1965,0.0,,1965,
1966,0.0,,1966,
1967,0.0,,1967,
1968,0.0,,1968,
1969,0.0,,1969,
1970,145.0,12870049.324137932,1970,1866157152.0
1971,147.0,13577268.19047619,1971,1995858424.0
1972,145.0,12654143.034482758,1972,1834850740.0
1973,149.0,16155472.483221477,1973,2407165400.0
1974,163.0,17644582.82208589,1974,2876067000.0
1975,168.0,17797367.26190476,1975,2989957700.0
1976,172.0,19074525.441860463,1976,3280818375.9999995
1977,172.0,20756104.372093022,1977,3570049952.0
1978,173.0,23128583.953757226,1978,4001245024.0
1979,175.0,25725544.57142857,1979,4501970300.0
1980,180.0,25026926.266666666,1980,4504846728.0
1981,183.0,24790532.240437157,1981,4536667400.0
1982,185.0,25107081.881081082,1982,4644810148.0
1983,185.0,26214687.43783784,1983,4849717176.0
1984,188.0,27497600.680851065,1984,5169548928.0
1985,189.0,29154059.386243388,1985,5510117224.0
1986,189.0,31245987.174603175,1986,5905491576.0
1987,190.0,33328369.07368421,1987,6332390124.0
1988,191.0,35048091.47643979,1988,6694185472.0
1989,191.0,36075364.92146597,1989,6890394700.0
1990,191.0,37606305.738219894,1990,7182804396.0
1991,195.0,43211945.25128205,1991,8426329324.0
1992,204.0,42312831.62745098,1992,8631817652.0
1993,208.0,40915220.17307692,1993,8510365795.999999
1994,210.0,43614798.20952381,1994,9159107624.0
1995,206.0,46996360.76213592,1995,9681250317.0
1996,208.0,49488788.09615385,1996,10293667924.0
1997,209.0,51485452.401913874,1997,10760459552.0
1998,210.0,51596577.52380952,1998,10835281280.0
1999,203.0,56526341.35960591,1999,11474847296.0
2000,201.0,61091034.17412935,2000,12279297869.0
2001,201.0,61301711.258706465,2001,12321643963.0
2002,188.0,64470867.930851065,2002,12120523171.0
2003,189.0,66006471.105820104,2003,12475223039.0
2004,187.0,76289112.97326203,2004,14266064125.999998
2005,179.0,83712042.41899441,2005,14984455593.0
2006,178.0,89382955.4494382,2006,15910166070.0
2007,178.0,96183256.46067415,2007,17120619649.999998
2008,180.0,96009237.90555556,2008,17281662823.0
2009,182.0,97563834.45054945,2009,17756617870.0
2010,205.0,103428548.35993712,2010,21202852413.78711
2011,205.0,110937436.40923968,2011,22742174463.894135
2012,205.0,116402737.21313962,2012,23862561128.693623
2013,204.0,123850502.610355,2013,25265502532.51242
2014,204.0,131710989.7076534,2014,26869041900.361294
2015,200.0,145139474.125,2015,29027894825.0
2016,201.0,154938400.52238807,2016,31142618505.000004
2017,199.0,168913479.34673366,2017,33613782390.0
Unnamed: 62,0.0,,Unnamed: 62,
