launch year,world failure,world partial failure,world success,world planned,world success rate,world mean success rate after 2000,world std success rate after 2000,china failure,china partial failure,china success,china planned,china success rate,china mean success rate after 2000,china std success rate after 2000
1957,1,1,1,0,0.3333333333333333,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1958,20,2,6,0,0.21428571428571427,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1959,11,2,10,0,0.43478260869565216,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1960,19,0,19,0,0.5,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1961,20,2,28,0,0.56,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1962,15,1,65,0,0.8024691358024691,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1963,17,3,50,0,0.7142857142857143,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1964,15,3,82,0,0.82,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1965,15,1,108,0,0.8709677419354839,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1966,13,7,111,0,0.8473282442748091,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1967,12,7,120,0,0.8633093525179856,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1968,10,3,116,0,0.8992248062015504,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1969,15,4,106,0,0.848,0.9436509755591452,0.01776628400132694,,,,,,0.9737219491170933,0.04979681591251801
1970,10,2,112,0,0.9032258064516129,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1971,14,1,119,0,0.8880597014925373,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1972,7,1,105,0,0.9292035398230089,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
1973,8,0,109,0,0.9316239316239316,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
1974,7,1,105,0,0.9292035398230089,0.9436509755591452,0.01776628400132694,1.0,0.0,0.0,0.0,0.0,0.9737219491170933,0.04979681591251801
1975,7,1,124,0,0.9393939393939394,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1976,3,3,125,0,0.9541984732824428,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1977,6,3,121,0,0.9307692307692308,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
1978,4,2,122,0,0.953125,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1979,5,1,105,0,0.9459459459459459,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
1980,4,3,102,0,0.9357798165137615,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
1981,3,6,117,0,0.9285714285714286,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
1982,8,2,119,0,0.9224806201550387,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1983,2,0,127,0,0.9844961240310077,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1984,0,3,126,0,0.9767441860465116,0.9436509755591452,0.01776628400132694,0.0,1.0,2.0,0.0,0.6666666666666666,0.9737219491170933,0.04979681591251801
1985,5,2,118,0,0.944,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1986,7,1,102,0,0.9272727272727272,0.9436509755591452,0.01776628400132694,0.0,0.0,2.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1987,4,2,108,0,0.9473684210526315,0.9436509755591452,0.01776628400132694,0.0,0.0,2.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1988,5,2,114,0,0.9421487603305785,0.9436509755591452,0.01776628400132694,0.0,0.0,4.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1989,1,0,101,0,0.9901960784313726,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,0.0,,0.9737219491170933,0.04979681591251801
